Disease1	Disease1_id	RELATION	PROVENANCE	Disease2	Disease2_id
Muscular Atrophy	C0026846	CAUSES	["17076268_fullText_1"]	Muscular Dystrophy	C0026850
Muscular Atrophy	C0026846	ISA	["1985039_fullText_6"]	Myopathy	C0026848
Muscular Atrophy	C0026846	ISA	["888734_fullText_2"]	Neuromuscular Diseases	C0027868
Muscular Atrophy	C0026846	PREDISPOSES	["21964963_fullText_3"]	Diabetes Mellitus, Non-Insulin-Dependent	C0011860
Muscular Atrophy	C0026846	COEXISTS_WITH__SPEC__	["15503094_fullText_1","12610429_fullText_1"]	Myotonic Dystrophy	C0027126
Muscular Atrophy	C0026846	COEXISTS_WITH__SPEC__	["36834509_fullText_1"]	Muscular Dystrophy	C0026850
Muscular Atrophy	C0026846	MANIFESTATION_OF	["1985039_fullText_6"]	Myopathy	C0026848
Muscular Atrophy	C0026846	IS_A		Myopathy	C0026848
Amyotrophic Lateral Sclerosis	C0002736	ISA	["27854227_fullText_5"]	Neuromuscular Diseases	C0027868
Amyotrophic Lateral Sclerosis	C0002736	ISA	["35247757_fullText_3","29476441_fullText_2","34354042_fullText_3"]	Neurodegenerative Disorders	C0524851
Amyotrophic Lateral Sclerosis	C0002736	IS_A		Motor Neuron Disease	C0085084
Huntington Disease	C0020179	COEXISTS_WITH	["27165717_fullText_87"]	Alzheimer's Disease	C0002395
Huntington Disease	C0020179	COEXISTS_WITH	["35695543_fullText_2"]	Chorea	C0008489
Huntington Disease	C0020179	COEXISTS_WITH	["33636389_fullText_1"]	nervous system disorder	C0027765
Huntington Disease	C0020179	ISA	["6239015_fullText_1"]	Hereditary Diseases	C0019247
Huntington Disease	C0020179	ISA	["33579861_fullText_1"]	Neuromuscular Diseases	C0027868
Huntington Disease	C0020179	ISA	["36038457_fullText_4"]	Syndrome	C0039082
Huntington Disease	C0020179	ISA	["34364429_fullText_9"]	Brain Diseases	C0006111
Huntington Disease	C0020179	ISA	["36038457_fullText_4"]	Movement Disorders	C0026650
Huntington Disease	C0020179	ISA	["33636389_fullText_1"]	Rare Diseases	C0678236
Huntington Disease	C0020179	ISA	["35247757_fullText_3","29476441_fullText_2"]	Neurodegenerative Disorders	C0524851
Huntington Disease	C0020179	COEXISTS_WITH__SPEC__	["33636389_fullText_1"]	Alzheimer's Disease	C0002395
Huntington Disease	C0020179	IS_A		Degenerative disorder	C1285162
Photoreceptor degeneration	C1998028	CAUSES	["23430200_fullText_1"]	Retinitis Pigmentosa	C0035334
Autosomal dominant hereditary disorder	C0265385	CAUSES	["8919334_fullText_1"]	Velopharyngeal Insufficiency	C0042454
Polyneuropathy	C0152025	COEXISTS_WITH	["20070275_fullText_5"]	Dysautonomia	C0013363
