Disease	Disease_id	RELATION	PROVENANCE	Gene	Gene_id
Machado-Joseph Disease	C0024408	IS_TREATED	["33516872_fullText_3"]	SLC6A4 gene	C1420214
Machado-Joseph Disease	C0024408	IS_TREATED	["36254604_fullText_4","15692194_fullText_1","31575582_fullText_99","31575582_fullText_113"]	IMPACT gene	C1825598
Machado-Joseph Disease	C0024408	IS_TREATED	["31684998_fullText_10","39125644_fullText_57"]	NEFL gene	C1417668
Machado-Joseph Disease	C0024408	IS_TREATED	["27165717_fullText_105"]	SIRT1 gene	C1423062
Machado-Joseph Disease	C0024408	IS_TREATED	["8035935_fullText_1","8023841_fullText_1","7839819_fullText_6"]	Locus	C1708726
Machado-Joseph Disease	C0024408	IS_TREATED	["26490332_fullText_7"]	ATXN2 gene	C1538299
Machado-Joseph Disease	C0024408	IS_TREATED	["9254842_fullText_2","8912491_fullText_3"]	MJD gene	C1417173
Machado-Joseph Disease	C0024408	IS_TREATED	["19412185_fullText_7"]	Wild Type	C1883559
Machado-Joseph Disease	C0024408	IS_TREATED	["11708990_fullText_10"]	Alleles	C0002085
Machado-Joseph Disease	C0024408	IS_TREATED	["32556403_fullText_9"]	NCOA6 gene	C1367177
Spinocerebellar Ataxia Type 1	C0752120	IS_TREATED	["19659750_fullText_2"]	PDYN gene	C1418447
Syndrome	C0039082	IS_TREATED	["37255483_fullText_3"]	LSS gene	C1416926
Syndrome	C0039082	IS_TREATED	["33554500_fullText_86"]	COG4 gene	C1425652
Alzheimer's Disease	C0002395	IS_TREATED	["34230570_fullText_8"]	MAOB gene	C1417002
Alzheimer's Disease	C0002395	IS_TREATED	["34217798_fullText_9"]	FAAH gene	C1414512
Alzheimer's Disease	C0002395	IS_TREATED	["34217798_fullText_9"]	MGLL gene	C1442515
Parkinson Disease	C0030567	IS_TREATED	["37599424_fullText_6"]	IMPACT gene	C1825598
Parkinson Disease	C0030567	IS_TREATED	["32030791_abstract_1"]	GBA gene	C1414998
Muscular Atrophy	C0026846	ASSOCIATED_WITH	["38227368_fullText_3"]	ATXN3 gene	C1538301
Muscular Atrophy	C0026846	IS_TREATED	["17487865_fullText_5"]	DMD gene	C1414083
Muscular Atrophy	C0026846	IS_TREATED	["29789616_fullText_103"]	RBFOX1 gene	C1854634
Muscular Atrophy	C0026846	IS_TREATED	["24376746_fullText_86"]	CELF1 gene	C1413824
Late-Onset Disorders	C0376415	IS_TREATED	["29048302_fullText_2"]	ST8SIA4 gene	C1539876
nervous system disorder	C0027765	IS_TREATED	["34577088_fullText_7"]	LPAR3 wt Allele	C3812695
nervous system disorder	C0027765	IS_TREATED	["35491805_fullText_8"]	PTS gene	C1419129
Heparin-induced thrombocytopenia	C0272285	IS_TREATED	["25239918_fullText_71"]	LGALS4 gene	C1416832
Restless Legs Syndrome	C0035258	IS_TREATED	["34225668_fullText_4"]	FXYD1 gene	C1414874
Asthma	C0004096	IS_TREATED	["36343758_fullText_8","35074516_fullText_2"]	LAMA1 gene	C1416775
Asthma	C0004096	IS_TREATED	["36038873_fullText_5"]	IMPACT gene	C1825598
Inclusion Body Myositis (disorder)	C0238190	IS_TREATED	["26287655_fullText_15"]	PHEX gene	C1418526
Spinal Muscular Atrophy	C0026847	IS_TREATED	["8566945_fullText_4"]	Alleles	C0002085
Neuropathy	C0442874	IS_TREATED	["35406718_fullText_47"]	NGLY1 gene	C1425023
Epilepsy	C0014544	IS_TREATED	["38649481_fullText_2"]	ALG3 wt Allele	C5780801
Epilepsy	C0014544	IS_TREATED	["35951651_fullText_8"]	RBFOX3 gene	C3146324
Dystrophia myotonica 1	C2931688	IS_TREATED	["36120913_fullText_3"]	CDK12 gene	C1824794
Dystrophia myotonica 1	C2931688	IS_TREATED	["23806903_fullText_5"]	MBNL1 gene	C1417055
Brain Diseases	C0006111	IS_TREATED	["36813575_fullText_8"]	GPR173 gene	C1539609
Dopa-Responsive Dystonia	C1851920	IS_TREATED	["23421753_fullText_4"]	GCH1 gene	C1415012
Muscular Dystrophy	C0026850	IS_TREATED	["28367954_fullText_68"]	PPARGC1A gene	C1418779
Diabetes	C0011847	IS_TREATED	["34577088_fullText_7"]	LPAR3 wt Allele	C3812695
Diabetes	C0011847	IS_TREATED	["36280497_fullText_4","36280497_fullText_6"]	CNR1 gene	C1413554
Narcolepsy	C0027404	IS_TREATED	["34559298_fullText_2"]	Alleles	C0002085
Obesity	C0028754	IS_TREATED	["24055312_fullText_8"]	IMPACT gene	C1825598
Anorexia	C0003123	IS_TREATED	["36658263_fullText_9"]	UTP20 gene	C1823612
Anorexia	C0003123	IS_TREATED	["36658263_fullText_9"]	C4orf51 gene	C2828846
Anorexia	C0003123	IS_TREATED	["36658263_fullText_9"]	MGAM gene	C1417132
Anorexia	C0003123	IS_TREATED	["36658263_fullText_9"]	PRF1 gene	C1418887
Autosomal Dominant Parkinsonism	C0752098	IS_TREATED	["11176969_fullText_8"]	Locus	C1708726
Encephalopathies	C0085584	IS_TREATED	["17342424_fullText_1"]	PGD gene	C1418504
Encephalopathies	C0085584	IS_TREATED	["38212812_fullText_3","38212812_abstract_3"]	ELAVL2 gene	C1414372
Myotonic Dystrophy	C0027126	IS_TREATED	["8789448_fullText_11","8464127_fullText_8"]	DMPK gene	C1414085
Myotonic Dystrophy	C0027126	IS_TREATED	["26501102_fullText_99"]	CLCN1 gene	C1413450
Myotonic Dystrophy	C0027126	IS_TREATED	["6748014_fullText_1"]	Genes, Dominant	C0017342
Myotonic Dystrophy	C0027126	IS_TREATED	["2881531_fullText_1","2320244_fullText_2","3047535_fullText_3"]	APOC2 gene	C1412477
Myotonic Dystrophy	C0027126	IS_TREATED	["7398118_fullText_1","8664567_fullText_2","3856628_fullText_2"]	Locus	C1708726
