Disease	Disease_id	RELATION	PROVENANCE	Drug	Drug_id
Restless Legs Syndrome	C0035258	IS_TREATED	["35609673_fullText_9"]	Pharmacologic Substance	C1254351
Parkinson Disease	C0030567	IS_TREATED	["35977382_fullText_1","38773300_fullText_3"]	Pharmacologic Substance	C1254351
Hypertrophic Cardiomyopathy	C0007194	IS_TREATED	["34707114_fullText_12"]	Pharmacologic Substance	C1254351
Restless Legs Syndrome	C0035258	IS_TREATED	["35605349_fullText_9"]	Pharmacologic Substance	C1254351
MITOCHONDRIAL COMPLEX I DEFICIENCY	C1838979	IS_TREATED	["11743516_fullText_1"]	Pharmacologic Substance	C1254351
Ureterolithiasis	C0041952	IS_TREATED	["36566404_fullText_2"]	Pharmacologic Substance	C1254351
Neonatal Abstinence Syndrome	C0027609	IS_TREATED	["37517785_fullText_11"]	Pharmacologic Substance	C1254351
Hyperthyroidism	C0020550	IS_TREATED	["37493532_fullText_4"]	Pharmacologic Substance	C1254351
Degenerative polyarthritis	C0029408	IS_TREATED	["35269726_fullText_5"]	Pharmacologic Substance	C1254351
Hypothyroidism	C0020676	IS_TREATED	["37493532_fullText_4"]	Pharmacologic Substance	C1254351
Mitochondrial Diseases	C0751651	IS_TREATED	["27977873_fullText_75"]	Pharmacologic Substance	C1254351
CNS disorder	C0007682	IS_TREATED	["35977382_fullText_1","34174274_fullText_11"]	Pharmacologic Substance	C1254351
Incontinence	C0021167	IS_TREATED	["34563481_fullText_4"]	Pharmacologic Substance	C1254351
Neurodegenerative Disorders	C0524851	IS_TREATED	["37068881_fullText_7","35630702_fullText_8"]	Pharmacologic Substance	C1254351
Alzheimer's Disease	C0002395	IS_TREATED	["35305483_fullText_5","33704864_fullText_11","36461719_fullText_11"]	Pharmacologic Substance	C1254351
Allergic asthma	C0155877	IS_TREATED	["36322828_fullText_13"]	Pharmacologic Substance	C1254351
Diabetes Mellitus	C0011849	IS_TREATED	["33704864_fullText_11"]	Pharmacologic Substance	C1254351
Rheumatoid Arthritis	C0003873	IS_TREATED	["35269726_fullText_5"]	Pharmacologic Substance	C1254351
Asthma	C0004096	IS_TREATED	["34845963_fullText_3"]	Pharmacologic Substance	C1254351
Machado-Joseph Disease	C0024408	IS_TREATED	["26997655_fullText_8"]	Pharmacologic Substance	C1254351
Glaucoma	C0017601	IS_TREATED	["37149109_fullText_1"]	Pharmacologic Substance	C1254351
Tendinopathy	C1568272	IS_TREATED	["35269726_fullText_5"]	Pharmacologic Substance	C1254351
Colonic Pseudo-Obstruction	C0009377	IS_TREATED	["38013547_fullText_6"]	Pharmacologic Substance	C1254351
Hypertensive disease	C0020538	IS_TREATED	["37436689_fullText_3"]	Pharmacologic Substance	C1254351
Machado-Joseph Disease	C0024408	IS_TREATED	["26990650_fullText_5","26990650_fullText_6","26990650_fullText_12","32357546_fullText_216"]	Riluzole	C0073379
Neurodegenerative Disorders	C0524851	IS_TREATED	["35458588_fullText_1"]	Adenosine	C0001443
Psoriasis	C0033860	IS_TREATED	["34157422_fullText_4"]	Adenosine	C0001443
Machado-Joseph Disease	C0024408	IS_TREATED	["24399647_fullText_1"]	Lithium	C0023870
Neurodegenerative Disorders	C0524851	IS_TREATED	["25112410_fullText_2"]	Lithium	C0023870
Neurodegenerative Disorders	C0524851	IS_TREATED	["37328081_fullText_13"]	Anti-Anxiety Agents	C0040616
Machado-Joseph Disease	C0024408	IS_TREATED	["24817574_fullText_9","32357546_fullText_92"]	BDA-410	C3492623
Leigh syndrome , French Canadian type	C1857355	IS_TREATED	["26565911_fullText_46"]	Glutathione Disulfide	C0061516
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["35803172_fullText_2"]	Sodium Chloride	C0037494
Machado-Joseph Disease	C0024408	IS_TREATED	["21047555_fullText_10"]	Sodium Butyrate	C0142812
Colitis	C0009319	IS_TREATED	["34605504_fullText_6"]	Sodium Butyrate	C0142812
Obesity	C0028754	IS_TREATED	["34676534_fullText_11"]	agonists	C0243192
Overactive Bladder	C0878773	IS_TREATED	["37191196_fullText_1","34963040_fullText_3"]	agonists	C0243192
Heart failure	C0018801	IS_TREATED	["34071350_fullText_4"]	agonists	C0243192
Migraine Disorders	C0149931	IS_TREATED	["35816257_fullText_4"]	agonists	C0243192
Overactive Bladder	C0878773	IS_TREATED	["37244459_fullText_7"]	agonists	C0243192
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["35645559_fullText_1"]	agonists	C0243192
Lung Diseases, Obstructive	C0600260	IS_TREATED	["34857633_fullText_9"]	agonists	C0243192
Syndrome	C0039082	IS_TREATED	["37191196_fullText_1","34963040_fullText_3"]	agonists	C0243192
Asthma	C0004096	IS_TREATED	["35645559_fullText_1"]	agonists	C0243192
Wasting Syndrome	C0043046	IS_TREATED	["34684760_fullText_1"]	agonists	C0243192
Mesenteric vascular insufficiency	C1412000	IS_TREATED	["35643970_fullText_9"]	agonists	C0243192
Obesity	C0028754	IS_TREATED	["34684760_fullText_1","34944069_fullText_2","34944069_fullText_5"]	agonists	C0243192
Inflammatory disorder	C1290884	IS_TREATED	["36838749_fullText_6"]	agonists	C0243192
Respiratory Distress Syndrome, Adult	C0035222	IS_TREATED	["34795026_fullText_2"]	agonists	C0243192
Bronchial Spasm	C0006266	IS_TREATED	["33945639_fullText_1"]	agonists	C0243192
Metabolic Diseases	C0025517	IS_TREATED	["34020681_fullText_7","35328343_fullText_1"]	agonists	C0243192
Colitis	C0009319	IS_TREATED	["36587170_fullText_8"]	agonists	C0243192
Acute asthma	C0582415	IS_TREATED	["35072366_fullText_4"]	agonists	C0243192
Urinary Bladder Diseases	C0005686	IS_TREATED	["37728503_fullText_1"]	agonists	C0243192
Respiration Disorders	C0035204	IS_TREATED	["36799441_fullText_6"]	agonists	C0243192
Kidney Failure, Acute	C0022660	IS_TREATED	["35643970_fullText_9"]	agonists	C0243192
Machado-Joseph Disease	C0024408	IS_TREATED	["32357546_fullText_251"]	agonists	C0243192
Obesity, Morbid	C0028756	IS_TREATED	["36536256_fullText_8"]	agonists	C0243192
Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia	C3714844	IS_TREATED	["36597221_fullText_3"]	agonists	C0243192
Diabetes	C0011847	IS_TREATED	["34684760_fullText_1"]	agonists	C0243192
Anemia	C0002871	IS_TREATED	["11293470_fullText_1"]	Iron	C0302583
Parkinson Disease	C0030567	IS_TREATED	["36449420_fullText_2"]	Iron	C0302583
Phenylketonurias	C0031485	IS_TREATED	["2360545_fullText_1"]	Iron	C0302583
Restless Legs Syndrome	C0035258	IS_TREATED	["37590826_fullText_5"]	Iron	C0302583
Hypertensive disease	C0020538	IS_TREATED	["35409840_fullText_5"]	opium alkaloids and derivative combination cough suppressants	C3539957
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["34348953_fullText_1","37775734_fullText_1"]	opium alkaloids and derivative combination cough suppressants	C3539957
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["34528220_fullText_1"]	opium alkaloids and derivative combination cough suppressants	C3539957
Machado-Joseph Disease	C0024408	IS_TREATED	["22433430_fullText_3"]	Vinca Alkaloids	C0042672
Machado-Joseph Disease	C0024408	IS_TREATED	["32357546_fullText_174"]	Insulin	C0021641
Myotonic Dystrophy	C0027126	IS_TREATED	["739270_fullText_5","3895577_fullText_2","3895577_fullText_3","6999006_fullText_1","1478370_fullText_3","1478370_fullText_6","1142379_fullText_1"]	Insulin	C0021641
Toxic Epidermal Necrolysis	C0014518	IS_TREATED	["1478370_fullText_3"]	Insulin	C0021641
Hyperinsulinism	C0020459	IS_TREATED	["37873673_fullText_2","37873673_fullText_9"]	Insulin	C0021641
Myotonic Dystrophy	C0027126	IS_TREATED	["19506327_fullText_7"]	Insulin	C0021641
Phenylketonurias	C0031485	IS_TREATED	["17726313_fullText_1"]	Insulin	C0021641
Diabetes Mellitus, Non-Insulin-Dependent	C0011860	IS_TREATED	["19506327_fullText_7"]	Insulin	C0021641
nervous system disorder	C0027765	IS_TREATED	["31402314_fullText_6"]	Air	C3536832
Phenylketonurias	C0031485	IS_TREATED	["12879091_fullText_4"]	Methionine	C0025646
Hyperphenylalaninaemia	C0751435	IS_TREATED	["15234340_fullText_1"]	Ethylnitrosourea	C0015111
Machado-Joseph Disease	C0024408	IS_TREATED	["19036964_fullText_4"]	Dantrolene	C0010976
Machado-Joseph Disease	C0024408	IS_TREATED	["32357546_fullText_227"]	Dantrolene	C0010976
Alzheimer's Disease	C0002395	IS_TREATED	["33776997_fullText_3","37768458_fullText_1"]	Cholinergic Agents	C0242893
Mitochondrial Diseases	C0751651	IS_TREATED	["31356884_fullText_3"]	Apomorphine	C0003596
Kidney Failure, Chronic	C0022661	PRODUCES	["37421310_fullText_3","37421310_abstract_3"]	Glucose	C0017725
Wasting	C0235394	IS_TREATED	["6340918_fullText_13"]	Glucose	C0017725
Myotonic Dystrophy	C0027126	IS_TREATED	["3552801_fullText_3","1458730_fullText_1"]	Glucose	C0017725
Machado-Joseph Disease	C0024408	IS_TREATED	["32357546_fullText_188"]	Glucose	C0017725
Phenylketonurias	C0031485	IS_TREATED	["3106718_fullText_1"]	Glucose	C0017725
Leigh syndrome , French Canadian type	C1857355	IS_TREATED	["26565911_fullText_19"]	Glucose	C0017725
Congenital Disorders	C0242354	IS_TREATED	["30389790_fullText_1"]	Glucose	C0017725
Hypoglycemia	C0020615	IS_TREATED	["33213396_fullText_18"]	Glucose	C0017725
Phenylketonurias	C0031485	IS_TREATED	["18249021_fullText_12"]	Betaine	C0005304
Non dystrophic myotonia	C1828221	IS_TREATED	["30805745_fullText_10"]	lamotrigine	C0064636
Machado-Joseph Disease	C0024408	IS_TREATED	["15305986_fullText_3"]	Lipofuscin	C0023789
Myotonic Dystrophy	C0027126	IS_TREATED	["8953873_fullText_5","8222038_fullText_6"]	Morphine	C0026549
Hypothyroidism	C0020676	IS_TREATED	["37493532_fullText_4"]	Morphine	C0026549
Hyperthyroidism	C0020550	IS_TREATED	["37493532_fullText_4"]	Morphine	C0026549
Myotonic Dystrophy	C0027126	IS_TREATED	["11103182_fullText_8"]	Fentanyl	C0015846
Chronic heart failure	C0264716	IS_TREATED	["36318859_fullText_8"]	Today	C0310367
Phenylketonurias	C0031485	IS_TREATED	["29167077_fullText_3"]	Today	C0310367
Phenylketonurias	C0031485	IS_TREATED	["22607939_fullText_1"]	Today	C0310367
Dermatologic disorders	C0037274	IS_TREATED	["36203121_fullText_4"]	Today	C0310367
Dyskinetic syndrome	C0013384	IS_TREATED	["37140165_fullText_4"]	Serotonin 5-HT1A Receptor Agonists	C2936511
Dyskinetic syndrome	C0013384	IS_TREATED	["37140165_fullText_3"]	Serotonin 5-HT1A Receptor Agonists	C2936511
Acidosis, Lactic	C0001125	IS_TREATED	["32677908_fullText_135"]	Lactate	C0376261
Machado-Joseph Disease	C0024408	IS_TREATED	["8825277_fullText_4"]	Lactate	C0376261
Blindness, Cortical	C0155320	IS_TREATED	["8240864_fullText_7"]	Lactate	C0376261
Lesion of brain	C0221505	IS_TREATED	["30425197_fullText_63"]	Lactate	C0376261
Brain Diseases, Metabolic	C0006112	IS_TREATED	["1558578_fullText_8"]	Lactate	C0376261
Phenylketonurias	C0031485	IS_TREATED	["30366815_fullText_1"]	Polyethylene Glycols	C0032483
Myotonic Disorders	C0553604	IS_TREATED	["1455983_fullText_1"]	Mexiletine	C0025887
Parkinson Disease	C0030567	IS_TREATED	["34724850_fullText_15"]	Fluoxetine	C0016365
Myasthenic Syndromes, Congenital, Slow Channel	C0751885	IS_TREATED	["33030681_fullText_4"]	Fluoxetine	C0016365
Dopa-Responsive Dystonia	C1851920	IS_TREATED	["37852412_fullText_9"]	Fluoxetine	C0016365
Cerebrovascular accident	C0038454	IS_TREATED	["34465201_fullText_1","34015940_fullText_1","37081168_fullText_2","37081168_fullText_3","37081168_fullText_8"]	Fluoxetine	C0016365
Hypertensive disease	C0020538	IS_TREATED	["35478186_fullText_1"]	Serotonin Uptake Inhibitors	C0162758
Obesity	C0028754	IS_TREATED	["36536256_fullText_1"]	Serotonin Uptake Inhibitors	C0162758
Phenylketonurias	C0031485	IS_TREATED	["31242484_fullText_1"]	Iodine	C0021968
Machado-Joseph Disease	C0024408	IS_TREATED	["8597984_fullText_2"]	Sulfamethoxazole	C0038689
Refractory epilepsy	C1096063	IS_TREATED	["35038463_fullText_2"]	century	C0719214
multiple pathologies	C0679225	IS_TREATED	["11252754_fullText_1"]	century	C0719214
Phenylketonurias	C0031485	IS_TREATED	["23164313_fullText_1"]	Melatonin	C0025219
Phenylketonurias	C0031485	IS_TREATED	["26624009_fullText_5","22107842_fullText_6"]	Norepinephrine	C0028351
Phenylketonurias	C0031485	IS_TREATED	["3148070_fullText_2"]	Norepinephrine	C0028351
Inferior Wall Myocardial Infarction	C0340305	IS_TREATED	["35090949_fullText_14"]	Norepinephrine	C0028351
Phenylketonurias	C0031485	PRODUCES	["37865339_fullText_1"]	Tyrosine	C0041485
Phenylketonurias	C0031485	IS_TREATED	["35248901_fullText_9","33581730_fullText_3","32106880_fullText_10","31640267_fullText_10","27450222_fullText_5","27008692_fullText_2","24857519_fullText_1","20882350_fullText_3","16278987_fullText_7","12135689_fullText_1","11013857_fullText_1","11013857_fullText_3","10870846_fullText_4","10539751_fullText_2","8942417_fullText_3","8523192_fullText_3","8414829_fullText_1","8414829_fullText_3","6732755_fullText_6","601515_fullText_3","39388898_fullText_2"]	Tyrosine	C0041485
Phenylketonurias	C0031485	IS_TREATED	["11562623_fullText_1"]	Tyrosine	C0041485
Chronically Ill	C0008715	IS_TREATED	["11768137_fullText_7"]	Tyrosine	C0041485
Phenylketonurias	C0031485	IS_TREATED	["11562623_fullText_1","3766433_fullText_3","890909_fullText_4"]	Tyrosine	C0041485
Phenylketonuria, Maternal	C0085547	IS_TREATED	["11157309_fullText_3"]	Tyrosine	C0041485
Mouth Diseases	C0026636	IS_TREATED	["12200907_fullText_4"]	Tyrosine	C0041485
Dermatologic disorders	C0037274	IS_TREATED	["36203121_fullText_9"]	Microbicides	C1136254
Leigh Disease	C0023264	IS_TREATED	["12160976_fullText_1"]	Dichloroacetate	C0012066
Machado-Joseph Disease	C0024408	IS_TREATED	["8597984_fullText_2"]	Bactrim	C0591139
Neurodegenerative Disorders	C0524851	IS_TREATED	["8064328_fullText_6"]	Bactrim	C0591139
Phenylketonurias	C0031485	IS_TREATED	["18249021_fullText_7","12879091_fullText_4","8828632_fullText_7"]	Folate	C0178638
Hyperammonemia, type III	C0268543	IS_TREATED	["37847851_fullText_18"]	Urea	C0041942
Phenylketonurias	C0031485	IS_TREATED	["27450222_fullText_5"]	Valine	C0042285
Phenylketonurias	C0031485	IS_TREATED	["27450222_fullText_7"]	Valine	C0042285
Leigh Disease	C0023264	IS_TREATED	["19101701_fullText_5","35148383_fullText_50"]	idebenone	C0123163
Optic Atrophy, Hereditary, Leber	C0917796	IS_TREATED	["34964562_fullText_109"]	idebenone	C0123163
Mitochondrial Diseases	C0751651	IS_TREATED	["33661577_fullText_126"]	idebenone	C0123163
Optic Atrophy, Hereditary, Leber	C0917796	IS_TREATED	["32371897_fullText_81"]	idebenone	C0123163
Metabolic Diseases	C0025517	IS_TREATED	["29497882_fullText_67"]	Sugars	C0242209
Hepatitis B	C0019163	IS_TREATED	["37231731_fullText_4","37231731_abstract_4"]	Immunoglobulins, Intravenous	C0085297
Myasthenic Syndromes, Congenital	C0751882	IS_TREATED	["32360404_fullText_5"]	Immunoglobulins, Intravenous	C0085297
Hepatolenticular Degeneration	C0019202	IS_TREATED	["37231731_fullText_4","37231731_abstract_4"]	Immunoglobulins, Intravenous	C0085297
Phenylketonurias	C0031485	IS_TREATED	["11486901_fullText_7"]	Ubiquinone	C0041536
Leigh Disease	C0023264	IS_TREATED	["23010433_fullText_5"]	EPI-743	C3491843
Leigh Disease	C0023264	IS_TREATED	["23010433_fullText_3"]	EPI-743	C3491843
Mitochondrial Diseases	C0751651	IS_TREATED	["23010433_fullText_3"]	EPI-743	C3491843
Leigh Disease	C0023264	IS_TREATED	["23010433_fullText_3"]	EPI-743	C3491843
Mitochondrial Diseases	C0751651	IS_TREATED	["23010433_fullText_3"]	EPI-743	C3491843
CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ii	C1842836	IS_TREATED	["29497882_fullText_42"]	Polysaccharides	C0032594
Hepatitis	C0019158	IS_TREATED	["27725718_fullText_96"]	Polysaccharides	C0032594
Cirrhosis	C1623038	IS_TREATED	["32557671_fullText_131"]	Polysaccharides	C0032594
Hereditary fructose intolerance syndrome	C0016751	IS_TREATED	["26739145_fullText_84"]	Polysaccharides	C0032594
Machado-Joseph Disease	C0024408	IS_TREATED	["32357546_fullText_206"]	Niacin	C0027996
Leigh syndrome , French Canadian type	C1857355	IS_TREATED	["26565911_fullText_27"]	Nicotinamide adenine dinucleotide (NAD)	C0027270
Leigh Disease	C0023264	IS_TREATED	["33752971_fullText_9"]	Nicotinamide adenine dinucleotide (NAD)	C0027270
Acute Q fever	C0519066	IS_TREATED	["34232075_fullText_3"]	Doxycycline	C0013090
Chronic disease	C0008679	IS_TREATED	["34232075_fullText_3"]	Doxycycline	C0013090
multiple pathologies	C0679225	IS_TREATED	["33950473_fullText_6"]	Acetylcysteine	C0001047
Phenylketonurias	C0031485	IS_TREATED	["24192130_fullText_4","24192130_fullText_5","3554869_fullText_3"]	Arginine	C0003765
Epilepsy	C0014544	IS_TREATED	["33113107_fullText_3"]	Arginine	C0003765
Glutaric aciduria, type 1	C0268595	IS_TREATED	["22520952_fullText_10"]	Arginine	C0003765
Leigh syndrome , French Canadian type	C1857355	IS_TREATED	["33085679_fullText_156"]	Measles-Mumps-Rubella Vaccine	C0065828
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["36948500_fullText_8"]	Vaccines	C0042210
Leigh syndrome , French Canadian type	C1857355	IS_TREATED	["33085679_fullText_10"]	Vaccines	C0042210
Phenylketonurias	C0031485	IS_TREATED	["20226470_fullText_9"]	Thioctic Acid	C0023791
Maple Syrup Urine Disease	C0024776	IS_TREATED	["38337708_fullText_5"]	Leucine	C0023401
Phenylketonurias	C0031485	IS_TREATED	["27450222_fullText_5","8750601_fullText_1"]	Leucine	C0023401
Phenylketonurias	C0031485	IS_TREATED	["29285660_fullText_4","21191647_fullText_7"]	Levocarnitine	C0087163
Glutaric aciduria, type 1	C0268595	IS_TREATED	["21431622_fullText_272"]	Levocarnitine	C0087163
Glutaric aciduria, type 1	C0268595	IS_TREATED	["32992790_fullText_14"]	Levocarnitine	C0087163
Sucrase-isomaltase deficiency, congenital	C1283620	PRODUCES	["29844506_fullText_192"]	Ascorbate	C0178487
Phenylketonuria II	C0268465	IS_TREATED	["2391014_fullText_2"]	Methotrexate	C0025677
Urticaria	C0042109	IS_TREATED	["34623059_fullText_4"]	Methotrexate	C0025677
Juvenile arthritis	C3495559	IS_TREATED	["33722205_fullText_7"]	Methotrexate	C0025677
Myotonic Dystrophy	C0027126	IS_TREATED	["3840335_fullText_1","9990221_fullText_5","8515553_fullText_6","2585721_fullText_4"]	Anesthetics	C0002932
Mitochondrial Diseases	C0751651	IS_TREATED	["34849584_fullText_95","38358320_fullText_7"]	Anesthetics	C0002932
Adrenoleukodystrophy	C0162309	IS_TREATED	["37189159_fullText_180"]	Carnitine	C0007258
Phenylketonurias	C0031485	IS_TREATED	["26693706_fullText_5","18941921_fullText_1","15159643_fullText_2"]	Vitamins	C0042890
Adrenoleukodystrophy	C0162309	IS_TREATED	["38215098_fullText_3","38215098_abstract_3"]	Baclofen	C0004609
See-Saw Nystagmus	C0344243	IS_TREATED	["3492476_fullText_3"]	Baclofen	C0004609
Candidiasis	C0006840	IS_TREATED	["34452874_fullText_1"]	Adrenal Cortex Hormones	C0001617
Pneumonia	C0032285	IS_TREATED	["34452874_fullText_1"]	Adrenal Cortex Hormones	C0001617
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["36185170_fullText_1","35418750_fullText_1","36434678_fullText_2","34452874_fullText_1","35536261_fullText_2"]	Adrenal Cortex Hormones	C0001617
Asthma	C0004096	IS_TREATED	["37874567_fullText_12"]	Adrenal Cortex Hormones	C0001617
Asthma	C0004096	IS_TREATED	["37874567_fullText_1","35621331_fullText_1","36322828_fullText_1"]	Adrenal Cortex Hormones	C0001617
Acute asthma	C0582415	IS_TREATED	["35072366_fullText_4"]	Adrenal Cortex Hormones	C0001617
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["37210420_fullText_1"]	Adrenal Cortex Hormones	C0001617
Mitochondrial Diseases	C0751651	IS_TREATED	["36056365_fullText_46"]	Adrenal Cortex Hormones	C0001617
Opsoclonus	C0242567	IS_TREATED	["3492476_fullText_8"]	Adrenal Cortex Hormones	C0001617
Chylous effusion	C0013691	IS_TREATED	["34187907_fullText_7","34187907_fullText_9"]	Propranolol	C0033497
Dyssomnias	C0700201	IS_TREATED	["34143243_fullText_1"]	Propranolol	C0033497
Liver Cirrhosis	C0023890	IS_TREATED	["33762817_fullText_1","33762817_fullText_6"]	Propranolol	C0033497
Cirrhosis	C1623038	IS_TREATED	["37482222_fullText_4"]	Propranolol	C0033497
Hypertensive disease	C0020538	IS_TREATED	["34481114_fullText_1"]	Propranolol	C0033497
Heart Diseases	C0018799	IS_TREATED	["34481114_fullText_1"]	Propranolol	C0033497
Hypertensive disease	C0020538	IS_TREATED	["35457036_fullText_8"]	Propranolol	C0033497
hyperthyroid symptom	C0745143	IS_TREATED	["36743920_fullText_2"]	Propranolol	C0033497
Cardiovascular Diseases	C0007222	IS_TREATED	["35017664_fullText_3","36143915_fullText_4"]	Propranolol	C0033497
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["34279195_fullText_6"]	Propranolol	C0033497
Opsoclonus	C0242567	IS_TREATED	["3492476_fullText_8"]	Propranolol	C0033497
Irritable Bowel Syndrome	C0022104	IS_TREATED	["35560982_fullText_1"]	Tricyclic Antidepressant [EPC]	C3536819
nervous system disorder	C0027765	IS_TREATED	["34678230_fullText_14"]	Therapeutic agent (substance)	C1611640
Alzheimer's Disease	C0002395	IS_TREATED	["37486499_fullText_1","37334447_fullText_9","36857812_fullText_1"]	Therapeutic agent (substance)	C1611640
multiple pathologies	C0679225	IS_TREATED	["36142837_fullText_9"]	Therapeutic agent (substance)	C1611640
nervous system disorder	C0027765	IS_TREATED	["34678230_fullText_14"]	Therapeutic agent (substance)	C1611640
Obesity	C0028754	IS_TREATED	["34325303_fullText_9"]	Therapeutic agent (substance)	C1611640
Mitochondrial Diseases	C0751651	IS_TREATED	["34571904_fullText_4","31386302_fullText_101","38732047_fullText_25","38732047_fullText_34"]	Therapeutic agent (substance)	C1611640
Autoimmune Diseases	C0004364	IS_TREATED	["36980189_fullText_9"]	Therapeutic agent (substance)	C1611640
Overactive Bladder	C0878773	IS_TREATED	["33911165_fullText_1"]	Therapeutic agent (substance)	C1611640
Myopathy	C0026848	IS_TREATED	["12298310_fullText_5"]	Propofol	C0033487
Myotonic Dystrophy	C0027126	IS_TREATED	["11103182_fullText_8"]	Propofol	C0033487
Non-Neoplastic Pediatric Disorder	C2982732	IS_TREATED	["36056365_fullText_51"]	everolimus	C0541315
Leigh Disease	C0023264	IS_TREATED	["31386302_fullText_16"]	everolimus	C0541315
Sleep Apnea Syndromes	C0037315	IS_TREATED	["35653343_fullText_2"]	Antiepileptic Agents	C0003299
Epilepsy	C0014544	IS_TREATED	["37110645_fullText_1"]	Antiepileptic Agents	C0003299
Glutaric aciduria, type 1	C0268595	IS_TREATED	["21431622_fullText_369"]	Antiepileptic Agents	C0003299
Epilepsy	C0014544	IS_TREATED	["32739100_fullText_6"]	perampanel	C2698764
Cerebrovascular accident	C0038454	IS_TREATED	["36648628_fullText_2"]	Protective Agents	C0033613
Alzheimer's Disease	C0002395	IS_TREATED	["36648628_fullText_2"]	Protective Agents	C0033613
Mitochondrial Diseases	C0751651	IS_TREATED	["28916229_fullText_2"]	Protective Agents	C0033613
CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ii	C1842836	IS_TREATED	["29321044_fullText_48"]	Copper	C0009968
Movement Disorders	C0026650	IS_TREATED	["21431622_fullText_352"]	Vigabatrin	C0048044
Machado-Joseph Disease	C0024408	IS_TREATED	["32357546_fullText_18"]	Experimental drug	C0304229
Histidinemia	C0220992	IS_TREATED	["3959882_fullText_1"]	Histidine	C0019602
Hyperphenylalaninemia, Non-Phenylketonuric	C0751436	IS_TREATED	["33423362_fullText_1"]	hydrochloride	C1512523
Hyperphenylalaninaemia	C0751435	IS_TREATED	["33423362_fullText_2"]	hydrochloride	C1512523
Myotonic Dystrophy	C0027126	IS_TREATED	["19462802_fullText_6"]	remifentanil	C0246631
Chronic Fatigue Syndrome	C0015674	IS_TREATED	["35690765_fullText_2"]	Analgesics	C0002771
Chronic pain	C0150055	IS_TREATED	["33774007_fullText_17","35253178_fullText_3"]	Analgesics	C0002771
Phenylketonurias	C0031485	IS_TREATED	["433228_fullText_1"]	Ascorbic Acid	C0003968
Cytochrome-c Oxidase Deficiency	C0268237	IS_TREATED	["19616603_fullText_6"]	Sodium Pyruvate	C1576824
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["37364225_fullText_3"]	Investigational New Drugs	C0013230
Macrocephaly	C0221355	IS_TREATED	["1775140_fullText_9"]	Organic acids, Gynecological	C3541407
Congenital disorder of glycosylation type 1A	C0349653	IS_TREATED	["11343337_fullText_4"]	pentamethylmelamine	C0070302
Chronic Fatigue Syndrome	C0015674	IS_TREATED	["35690765_fullText_2"]	Muscle relaxants	C0358430
Migraine Disorders	C0149931	IS_TREATED	["36869904_fullText_10"]	Ketamine	C0022614
Seizures, Clonic	C0234535	IS_TREATED	["32969598_fullText_51"]	Midazolam	C0026056
Restless Legs Syndrome	C0035258	IS_TREATED	["33864178_fullText_2"]	Pramipexole	C0074710
Restless Legs Syndrome	C0035258	IS_TREATED	["34000142_fullText_2","35605349_fullText_8","33864178_fullText_2"]	Pramipexole	C0074710
Hyperphenylalaninemia, Non-Phenylketonuric	C0751436	IS_TREATED	["27562098_fullText_6"]	Pramipexole	C0074710
Parkinson Disease	C0030567	IS_TREATED	["34000142_fullText_2"]	Pramipexole	C0074710
Phenylketonurias	C0031485	IS_TREATED	["6106517_fullText_1"]	Antipsychotic Agents	C0040615
Parkinson Disease	C0030567	IS_TREATED	["34525848_fullText_1"]	Antipsychotic Agents	C0040615
Parkinson Disease	C0030567	IS_TREATED	["34525848_fullText_2"]	Antipsychotic Agents	C0040615
Helminthiasis	C0018889	IS_TREATED	["35406718_fullText_176"]	Antipsychotic Agents	C0040615
Arterial thrombosis	C0151942	IS_TREATED	["35570383_fullText_1"]	Aspirin	C0004057
Alzheimer's Disease	C0002395	IS_TREATED	["34151816_fullText_1","33831382_fullText_1"]	Memantine	C0025242
Migraine Disorders	C0149931	IS_TREATED	["36869904_fullText_10"]	Memantine	C0025242
Horizontal dissociated gaze palsy	C0344247	IS_TREATED	["34556625_fullText_5"]	Memantine	C0025242
Alzheimer's Disease	C0002395	IS_TREATED	["34360588_fullText_5"]	Memantine	C0025242
Epilepsy	C0014544	IS_TREATED	["37648266_fullText_4"]	Cannabidiol	C0006863
Deuteranomaly	C3887938	IS_TREATED	["39231983_fullText_23","39231983_fullText_172"]	Cannabidiol	C0006863
Syndrome	C0039082	IS_TREATED	["34498262_fullText_2"]	Carbidopa	C0006982
Familial cold urticaria	C0343068	IS_TREATED	["36913400_fullText_6"]	Carbidopa	C0006982
Chronic nonmalignant pain	C3662064	IS_TREATED	["36897501_fullText_2"]	Carbidopa	C0006982
Epilepsy	C0014544	IS_TREATED	["33845076_fullText_3","36471511_fullText_6","36471511_fullText_10","36471511_fullText_11"]	Carbidopa	C0006982
