Disease	Disease_id	RELATION	PROVENANCE	Drug	Drug_id
Classical phenylketonuria	C0751434	IS_TREATED	["37470789_fullText_8"]	Phenylalanine	C0031453
Mouth Diseases	C0026636	IS_TREATED	["12200907_fullText_4"]	Phenylalanine	C0031453
Congenital Disorders	C0242354	IS_TREATED	["9507164_fullText_1"]	Phenylalanine	C0031453
Obesity	C0028754	IS_TREATED	["34144002_fullText_7"]	Phenylalanine	C0031453
Urea Cycle Disorders, Inborn	C0154246	IS_TREATED	["32542434_fullText_3"]	Phenylalanine	C0031453
Phenylketonurias	C0031485	IS_TREATED	["37827804_fullText_1","37291632_fullText_3","35527480_fullText_1","35289300_fullText_1","35015767_fullText_2","35015767_fullText_8","31603834_fullText_6","30157945_fullText_6","29653686_fullText_6","29267500_fullText_1","29102225_fullText_3","28915855_fullText_2","28752875_fullText_5","28182360_fullText_1","27832415_fullText_7","25913748_fullText_2","25007061_fullText_3","23782895_fullText_5","21733144_fullText_3","22018725_fullText_5","19277839_fullText_1","19191004_fullText_10","15906735_fullText_11","12424106_fullText_1","12401368_fullText_4","10051643_fullText_4","7967476_fullText_1","2877115_fullText_1","4025205_fullText_6","6713688_fullText_1","6422071_fullText_3","6820461_fullText_5","6790852_fullText_2","6453302_fullText_5","7194402_fullText_11","930099_fullText_7","890909_fullText_4","1219115_fullText_1","38734223_fullText_4"]	Phenylalanine	C0031453
nervous system disorder	C0027765	IS_TREATED	["7110811_fullText_2"]	Phenylalanine	C0031453
Juvenile-Onset Vitelliform Macular Dystrophy	C2745945	IS_TREATED	["22300845_fullText_2"]	Phenylalanine	C0031453
Phenylketonuria, Maternal	C0085547	IS_TREATED	["1755650_fullText_1"]	Phenylalanine	C0031453
Hyperphenylalaninaemia	C0751435	IS_TREATED	["2286013_fullText_2"]	Phenylalanine	C0031453
Congenital heart disease	C0152021	IS_TREATED	["11328945_fullText_8"]	Phenylalanine	C0031453
Chronically Ill	C0008715	IS_TREATED	["11768137_fullText_7"]	Phenylalanine	C0031453
