Phenotype	Phenotype_id	RELATION	PROVENANCE	Drug	Drug_id
Severe asthma	C0581126	IS_TREATED	["37376964_fullText_1"]	Muscarinic Antagonists	C0003385
Severe asthma	C0581126	IS_TREATED	["36959028_fullText_9"]	Anti-IgE [EPC]	C2825096
Severe asthma	C0581126	IS_TREATED	["35726790_fullText_8"]	Biological Products	C0005522
Does steer	C0553654	IS_TREATED	["34108456_fullText_5"]	Dopamine	C0013030
Withdrawal Symptoms	C0087169	IS_TREATED	["34559090_fullText_3"]	Buprenorphine	C0006405
Withdrawal Symptoms	C0087169	IS_TREATED	["35993205_fullText_8"]	Dexmedetomidine	C0113293
Withdrawal Symptoms	C0087169	IS_TREATED	["35134074_fullText_7"]	Marihuana	C0024808
T2d	C3854130	IS_TREATED	["33933677_fullText_1"]	Bromocriptine	C0006230
T2d	C3854130	IS_TREATED	["31749144_fullText_3"]	Pharmacologic Substance	C1254351
Sympathomimetic Effect	C0877014	IS_TREATED	["34027562_fullText_1"]	yohimbine	C0724441
5 - 9	C3840622	IS_TREATED	["36705724_fullText_5"]	Propranolol	C0033497
Unemployment	C0041674	IS_TREATED	["34989830_fullText_3"]	Selective Serotonin Reuptake Inhibitors	C0360105
Dysfunctional voiding of urine	C0429826	IS_TREATED	["33984361_fullText_8"]	animal allergen extracts	C3540698
Dysfunctional voiding of urine	C0429826	IS_TREATED	["35150075_fullText_7"]	Distigmine bromide	C2745877
Urinary symptoms	C0426359	IS_TREATED	["37314647_fullText_3"]	oxybutynin	C0069805
Urinary symptoms	C0426359	IS_TREATED	["34818261_fullText_8"]	Phosphodiesterase Inhibitors	C0031638
Gastrointestinal symptom	C0426576	IS_TREATED	["35714110_fullText_10"]	Proton Pump Inhibitors	C0358591
Gastrointestinal symptom	C0426576	IS_TREATED	["33905540_fullText_15"]	Pharmacologic Substance	C1254351
Erotic interest	C0424400	IS_TREATED	["34882500_fullText_2"]	Bupropion	C0085208
Erotic interest	C0424400	IS_TREATED	["34882500_fullText_2"]	Dopamine Hydrochloride	C0282151
Erotic interest	C0424400	IS_TREATED	["34882500_fullText_2"]	Pharmacologic Substance	C1254351
Moderate anxiety	C0231402	IS_TREATED	["34727752_fullText_3"]	Nootropic Agents	C0242913
Chronic back pain	C0740418	IS_TREATED	["34684144_fullText_5"]	Marihuana	C0024808
Hallucinations, Visual	C0233763	IS_TREATED	["34291590_fullText_1"]	rivastigmine	C0649350
Hallucinations, Visual	C0233763	IS_TREATED	["33908619_fullText_2"]	Apomorphine	C0003596
Exacerbation of asthma	C0349790	IS_TREATED	["35143150_fullText_11"]	Adrenal Cortex Hormones	C0001617
Exacerbation of asthma	C0349790	IS_TREATED	["34593615_fullText_3"]	Agonist	C2987634
Exacerbation of asthma	C0349790	IS_TREATED	["37400102_fullText_1"]	Blood lactate	C3824990
Exacerbation of asthma	C0349790	IS_TREATED	["35143150_fullText_11"]	Bronchodilator Agents	C0006280
Breastfeeding (mother)	C1623040	IS_TREATED	["33861632_fullText_10"]	vortioxetine	C3661282
Breastfeeding (mother)	C1623040	IS_TREATED	["34587362_fullText_8"]	Antihistamines	C0003360
Breastfeeding (mother)	C1623040	IS_TREATED	["14743689_fullText_2"]	Phenylalanine	C0031453
Total urinary incontinence	C0150044	IS_TREATED	["34537953_fullText_6"]	mirabegron	C2983812
Ventricular Arrhythmia ECG Assessment	C3812282	IS_TREATED	["23097601_fullText_12"]	Basis	C1874451
Raised intraocular pressure	C0234708	IS_TREATED	["34214592_fullText_3"]	Caffeine	C0006644
Tidal Volume	C0040210	IS_TREATED	["29693947_fullText_5"]	Sugammadex	C1700695
Ovariectomized female	C3687559	IS_TREATED	["35322092_fullText_13"]	landiolol	C0905464
Unexplained cough	C1277590	IS_TREATED	["37355845_fullText_10"]	Codeine	C0009214
Unexplained cough	C1277590	IS_TREATED	["35347635_fullText_1"]	Narcotic Antagonists	C0027410
Neurobehavioral Manifestations	C0525041	IS_TREATED	["34498969_fullText_1"]	Cholinesterase Inhibitors	C0008425
Neurobehavioral Manifestations	C0525041	IS_TREATED	["36219788_fullText_6"]	Acetylcholinesterase Inhibitors	C0001046
Neurobehavioral Manifestations	C0525041	IS_TREATED	["36273943_fullText_1"]	Agonist	C2987634
ASTHMA, SUSCEPTIBILITY TO (finding)	C1869116	IS_TREATED	["26552645_fullText_9"]	Albuterol	C0001927
Lactation established in non-human animal	C3668831	IS_TREATED	["38791104_fullText_3"]	Vitamin supplementation	C0302837
Lower Urinary Tract Symptoms	C0574785	IS_TREATED	["34767140_fullText_1"]	Adrenergic alpha-Antagonists	C0001641
Lower Urinary Tract Symptoms	C0574785	IS_TREATED	["35362820_fullText_1"]	tadalafil	C1176316
Lower Urinary Tract Symptoms	C0574785	IS_TREATED	["35610768_fullText_3"]	Adrenergic alpha-1 Receptor Antagonists	C0304512
Lower Urinary Tract Symptoms	C0574785	IS_TREATED	["36084760_fullText_1"]	Saw palmetto extract	C0771607
Lower Urinary Tract Symptoms	C0574785	IS_TREATED	["35469100_fullText_5"]	Adrenergic alpha-Antagonists	C0001641
Lower Urinary Tract Symptoms	C0574785	IS_TREATED	["36051157_fullText_2","34743440_fullText_6"]	silodosin	C1870115
Lower Urinary Tract Symptoms	C0574785	IS_TREATED	["34474675_fullText_3"]	mirabegron	C2983812
