Gene	Gene_id	RELATION	PROVENANCE	Pathway	Pathway_id
VEGFA gene	C1823619	AFFECTS	["36443270_fullText_2"]	Angiogenic Process	C0302600
VEGFA gene	C1823619	AUGMENTS	["36443270_fullText_5"]	Angiogenic Process	C0302600
SRSF1 gene	C1419989	AFFECTS	["24293317_fullText_30"]	ion binding	C1752728
CDKL5 gene	C1420484	AFFECTS	["36613509_fullText_4"]	Inhibitory Postsynaptic Currents	C2350182
TNFRSF11B gene	C1336645	ASSOCIATED_WITH		Bone Resorption	C0005974
TNFSF11 gene	C1367028	ASSOCIATED_WITH		Bone Resorption	C0005974
DRD2 gene	C1333253	AFFECTS	["34353882_fullText_9"]	receptor activity	C1152633
FAH gene	C1414525	AFFECTS	["37865339_fullText_13"]	neurotransmitter biosynthesis	C0597062
IRF6 wt Allele	C2697656	AUGMENTS	["34445611_fullText_6"]	Tyrosine Phosphorylation	C1519726
IMPACT gene	C1825598	DISRUPTS	["34414907_fullText_6"]	insulin activity	C1145751
P2RY12 gene	C1425330	AFFECTS	["35173744_fullText_6"]	Platelet Activation	C0032173
Tumor Suppressor Genes	C0079427	AUGMENTS	["33077317_fullText_6"]	Wnt beta-Catenin Signaling Pathway	C3178960
Oncogenes	C0029016	AUGMENTS	["33077317_fullText_6"]	Wnt beta-Catenin Signaling Pathway	C3178960
PDE5A gene	C1418424	AFFECTS	["37532077_fullText_14"]	Penile Erection	C0030847
TACR1 gene	C1420565	AFFECTS	["35013118_fullText_10"]	lung development	C1160389
GLYAT gene	C1422172	AUGMENTS	["34149704_fullText_6"]	Glycolysis/Gluconeogenesis Pathway	C1512230
MBNL1 gene	C1417055	AFFECTS	["24293317_fullText_39"]	central nervous system function	C0683212
SLC39A8 gene	C1427169	AFFECTS	["33413482_fullText_88"]	central nervous system function	C0683212
SIRT1 gene	C1423062	AFFECTS	["35872650_fullText_51"]	Deacetylation	C1511737
FNDC5 gene	C1426803	AFFECTS	["34126232_fullText_4","34126232_fullText_5","34126232_fullText_10"]	Cardiovascular Physiological Phenomena	C0007227
SLC6A11 gene	C1420208	AFFECTS	["33936193_fullText_8"]	gamma-aminobutyric acid biosynthetic process	C1621915
CPT1A gene	C1413688	AFFECTS	["33936193_fullText_8"]	gamma-aminobutyric acid biosynthetic process	C1621915
SYNPR gene	C1424339	AFFECTS	["33936193_fullText_8"]	gamma-aminobutyric acid biosynthetic process	C1621915
SLC38A3 gene	C1442750	AFFECTS	["33936193_fullText_8"]	gamma-aminobutyric acid biosynthetic process	C1621915
PRKCD gene	C1418916	DISRUPTS	["34281274_fullText_6"]	glutathione peroxidase activity	C1151528
DRD1 gene	C1333250	AUGMENTS	["36345723_fullText_4"]	cAMP-mediated signaling	C1155589
ASS1 gene	C1825092	AFFECTS	["38113552_fullText_4"]	Secondary Metabolism	C0260000
LPAR3 wt Allele	C3812695	AUGMENTS	["34288015_fullText_6"]	smooth muscle contraction	C1155937
ASAH1 wt Allele	C3539770	AFFECTS	["9402536_fullText_11"]	Osteogenesis	C0029433
RARRES2 gene	C1419274	DISRUPTS	["34450172_fullText_5"]	AMPK activity	C3546468
PTS gene	C1419129	AFFECTS	["10874306_fullText_1"]	tetrahydrobiopterin biosynthetic process	C1157041
GPR55 gene	C1415245	AFFECTS	["33844984_fullText_1"]	Adrenergic receptor function	C0544650
GPNMB gene	C1415205	AFFECTS	["36102038_fullText_129"]	Dephosphorylation	C3160734
