Drug	Drug_id	RELATION	PROVENANCE	Phenotype	Phenotype_id
mirabegron	C2983812	AFFECTS	["34742663_fullText_1"]	drug exposure	C0743284
mirabegron	C2983812	AFFECTS	["35536677_fullText_8"]	Agitation	C0085631
mirabegron	C2983812	PREDISPOSES	["35708534_fullText_6"]	Acute retention of urine	C0341742
mirabegron	C2983812	INHIBITS	["35858980_fullText_2"]	Behavior showing increased motor activity	C0474395
mirabegron	C2983812	INHIBITS	["35987885_fullText_6"]	Systemic arterial pressure	C1272641
capadenoson	C2828243	PREVENTS	["34313915_fullText_2"]	Neuralgia	C0027796
Quinpirole	C0072892	AFFECTS	["34296531_fullText_6"]	N18	C0442791
donepezil	C0527316	CAUSES	["33851543_fullText_10"]	Hypothermia, natural	C0020672
donepezil	C0527316	AFFECTS	["35988219_fullText_4"]	Complete Response with Incomplete Bone Marrow Recovery	C3538993
donepezil	C0527316	INHIBITS	["33851543_fullText_5"]	Hypothermia, natural	C0020672
GABA Agonists	C0242974	CAUSES	["34075828_fullText_1"]	Neuronal degeneration	C3670500
Muscimol	C0026818	AFFECTS	["36372242_fullText_5"]	Neuralgia	C0027796
Muscimol	C0026818	AFFECTS	["34507588_fullText_6"]	Inflammatory pain	C0234251
Muscimol	C0026818	AUGMENTS	["36372242_fullText_5"]	Allodynia	C0458247
Muscimol	C0026818	PREVENTS	["34502229_fullText_10"]	Excitability	C0235169
Antihypertensive Agents	C0003364	INHIBITS	["35880517_fullText_6"]	Cardiovascular event	C1320716
Calcium Channel Blockers	C0006684	INHIBITS	["37530605_fullText_7"]	1-2	C3843716
Thiazide Diuretics	C0012802	AFFECTS	["35259925_fullText_5"]	Cardiovascular event	C1320716
Didanosine	C0012133	CAUSES	["34214182_fullText_5"]	Co-morbid conditions	C1275743
Didanosine	C0012133	CAUSES	["33998860_fullText_5"]	Serious Adverse Event	C1519255
Benzodiazepines	C0005064	CAUSES	["34643143_fullText_2"]	partial response	C1521726
Benzodiazepines	C0005064	AFFECTS	["36180380_fullText_5"]	ataxic	C0234366
Benzodiazepines	C0005064	AUGMENTS	["36331050_fullText_6"]	medication use	C0240320
Tricyclic Antidepressive Agents	C0003290	CAUSES	["34643143_fullText_2"]	partial response	C1521726
Epoprostenol	C0033567	CAUSES	["36980851_fullText_6"]	Test Result	C0456984
Antihistamines	C0003360	CAUSES	["36250781_fullText_27"]	Sedated state	C0235195
Antihistamines	C0003360	CAUSES	["36752814_fullText_4"]	analgesic effect	C0948482
Antihistamines	C0003360	AFFECTS	["33729599_fullText_6"]	Death (finding)	C1306577
Antihistamines	C0003360	PREVENTS	["34397204_fullText_3"]	Pruritus	C0033774
Sepranolone	C0376202	CAUSES	["34601389_fullText_8"]	Hyperactive behavior	C0424295
Sepranolone	C0376202	AFFECTS	["33894327_fullText_2"]	Well adult	C0686750
Sepranolone	C0376202	AFFECTS	["36473166_fullText_13"]	Failure of transfer of passive immunity in newborn	C1299937
Sepranolone	C0376202	ASSOCIATED_WITH	["36274158_fullText_3"]	Fatigue	C0015672
Solifenacin	C1099677	INHIBITS	["35987885_fullText_6"]	Systemic arterial pressure	C1272641
Solifenacin	C1099677	INHIBITS	["35731251_fullText_4"]	Bladder capacity	C0429807
Solifenacin	C1099677	INHIBITS	["33734828_fullText_12"]	Drowsiness	C0013144
