Drug	Drug_id	RELATION	PROVENANCE	Disease	Disease_id
Paraquat	C0030493	PREDISPOSES	["35562624_fullText_3"]	Parkinson Disease	C0030567
Air	C3536832	CAUSES	["37770252_fullText_98"]	Hyperglycemia	C0020456
Air	C3536832	CAUSES	["37770252_fullText_5"]	Hyperlactatemia	C0795692
Apomorphine	C0003596	PREVENTS	["31356884_fullText_8"]	Mitochondrial Diseases	C0751651
Glucose	C0017725	ASSOCIATED_WITH	["37421310_fullText_3","37421310_abstract_3"]	Glycogen Storage Disease Type I	C0017920
Glucose	C0017725	ASSOCIATED_WITH	["6378152_fullText_2"]	Myotonia Congenita	C0027127
Glucose	C0017725	ASSOCIATED_WITH	["360749_fullText_5","1142379_fullText_7"]	Myotonic Dystrophy	C0027126
Glucose	C0017725	ASSOCIATED_WITH	["14679302_fullText_8"]	Machado-Joseph Disease	C0024408
Serotonin 5-HT1A Receptor Agonists	C2936511	PREVENTS	["34785162_fullText_1"]	Dyskinetic syndrome	C0013384
Diazepam	C0012010	PREVENTS	["19289695_fullText_7"]	Apneic attack	C0474454
Lactate	C0376261	CAUSES	["24957181_fullText_114"]	Leigh Disease	C0023264
Glycogen	C0017911	ASSOCIATED_WITH	["37421310_fullText_3","37421310_abstract_3"]	Cardiomyopathies	C0878544
Glycogen	C0017911	ASSOCIATED_WITH	["14679302_fullText_8"]	Machado-Joseph Disease	C0024408
Glycogen	C0017911	ASSOCIATED_WITH	["9365364_fullText_8"]	Myotonic Dystrophy	C0027126
Fluoxetine	C0016365	AFFECTS	["37724979_fullText_9"]	Colitis	C0009319
Fluoxetine	C0016365	AFFECTS	["34465201_fullText_7","34465201_fullText_9"]	Cerebrovascular accident	C0038454
Fluoxetine	C0016365	PREDISPOSES	["35472246_fullText_9"]	Acute pancreatitis	C0001339
Fluoxetine	C0016365	DISRUPTS	["37852412_fullText_10"]	Dopa-Responsive Dystonia	C1851920
Fluoxetine	C0016365	PREVENTS	["33723270_fullText_4"]	Virus Diseases	C0042769
Serotonin Uptake Inhibitors	C0162758	PREDISPOSES	["38018726_fullText_4"]	Angle Closure Glaucoma	C0017605
Dimethyl Sulfoxide	C0012403	AFFECTS	["34885970_fullText_1"]	Hemoglobin H Disease	C3161174
Trimethoprim	C0041041	CAUSES	["2975336_fullText_2"]	Hyperphenylalaninaemia	C0751435
Melatonin	C0025219	CAUSES	["12210848_fullText_9"]	Phenylketonurias	C0031485
Melatonin	C0025219	CAUSES__SPEC__	["12210848_fullText_9"]	Phenylketonurias	C0031485
Melatonin	C0025219	ASSOCIATED_WITH	["31974269_abstract_2"]	Cirrhosis	C1623038
Melatonin	C0025219	ASSOCIATED_WITH	["31974269_abstract_2"]	Hepatic Encephalopathy	C0019151
Melatonin	C0025219	ASSOCIATED_WITH	["34112046_fullText_6"]	Glaucoma	C0017601
Melatonin	C0025219	AUGMENTS	["31974269_abstract_5","31974269_abstract_6"]	Carbamoyl-Phosphate Synthase I Deficiency Disease	C0751753
Melatonin	C0025219	PREVENTS	["16309833_fullText_5"]	Hepatic impairment	C0948807
