Drug	Drug_id	RELATION	PROVENANCE	Gene	Gene_id
Evans blue	C0015205	COEXISTS_WITH	["24468193_fullText_93"]	GCDH gene	C1415009
Citalopram	C0008845	COEXISTS_WITH	["34000119_fullText_3"]	PTS gene	C1419129
Citalopram	C0008845	COEXISTS_WITH	["35660811_fullText_8"]	PPARGC1B gene	C1428918
Citalopram	C0008845	STIMULATES	["34293414_fullText_4"]	BAI3 gene	C1332376
Drugs used for the treatment of acute migraine	C1579373	COEXISTS_WITH	["26488408_fullText_90"]	Wild Type	C1883559
Oxygen	C0030054	COEXISTS_WITH	["30520688_fullText_6","37770252_fullText_98","30520688_fullText_44"]	NDUFS4 gene	C1417647
daidzein	C0057090	STIMULATES	["32357546_fullText_131"]	ATXN3 gene	C1538301
Glycosylation End Products, Advanced	C0162574	PART_OF	["38612794_fullText_5"]	ATXN3 gene	C1538301
Glycosylation End Products, Advanced	C0162574	STIMULATES	["39226631_fullText_5"]	NT5C1A gene	C1425101
tetanus toxoid helper peptide	C1515333	STIMULATES	["25883322_fullText_48"]	CELF1 gene	C1413824
Water	C0043047	COEXISTS_WITH	["35933977_fullText_5"]	Wild Type	C1883559
Amino Acids	C0002520	PART_OF	["32012848_abstract_4"]	GAA gene	C1414899
Amino Acids	C0002520	PART_OF	["23468640_fullText_75"]	MSH3 gene	C0879392
Amino Acids	C0002520	PART_OF	["9490724_fullText_58"]	DMPK gene	C1414085
Amino Acids	C0002520	PART_OF	["22156369_fullText_76"]	NES gene	C1417679
Amino Acids	C0002520	PART_OF	["10562279_fullText_33"]	PEX10 gene	C1418470
Amino Acids	C0002520	PART_OF	["10562279_fullText_62","10562279_fullText_103","10562279_fullText_106"]	PEX12 gene	C1418473
Amino Acids	C0002520	PART_OF	["10562279_fullText_33"]	LGALS4 gene	C1416832
Amino Acids	C0002520	PART_OF	["10562279_fullText_40"]	PEX5 gene	C1419151
Amino Acids	C0002520	PART_OF	["35157847_fullText_87"]	SIRT5 gene	C1423065
Amino Acids	C0002520	PART_OF	["24498361_fullText_87"]	GCDH gene	C1415009
Amino Acids	C0002520	PART_OF	["35055180_fullText_101"]	PYROXD2 gene	C1428119
Amino Acids	C0002520	PART_OF	["11733556_fullText_5"]	MPDU1 gene	C1417235
Amino Acids	C0002520	PART_OF	["24341803_fullText_2"]	BOLA3 gene	C1826629
Amino Acids	C0002520	PART_OF	["30419932_fullText_1"]	IARS2 gene	C1825559
Amino Acids	C0002520	COEXISTS_WITH	["37848450_fullText_68"]	DDOST gene	C1413949
Amino Acids	C0002520	COEXISTS_WITH	["32872442_fullText_6"]	LRP2 wt Allele	C3811119
Amino Acids	C0002520	COEXISTS_WITH	["20819849_fullText_139"]	Alleles	C0002085
Amino Acids	C0002520	COEXISTS_WITH	["30455355_fullText_2"]	ATXN3 gene	C1538301
Amino Acids	C0002520	STIMULATES	["37644761_fullText_7"]	LPAR3 wt Allele	C3812695
Selective Serotonin Reuptake Inhibitors	C0360105	COEXISTS_WITH	["37507539_fullText_5"]	PVRL1 gene	C1419142
Selective Serotonin Reuptake Inhibitors	C0360105	COEXISTS_WITH	["35777551_fullText_4"]	PISD gene	C1418591
Selective Serotonin Reuptake Inhibitors	C0360105	COEXISTS_WITH	["35039907_fullText_4"]	KRT5 wt Allele	C3810570
Selective Serotonin Reuptake Inhibitors	C0360105	COEXISTS_WITH	["34360959_fullText_2"]	IMPACT gene	C1825598
Selective Serotonin Reuptake Inhibitors	C0360105	INHIBITS	["35201310_fullText_2"]	CYP2D6 gene	C1332830
Selective Serotonin Reuptake Inhibitors	C0360105	INHIBITS	["37466774_fullText_8"]	SLC6A4 gene	C1420214
Selective Serotonin Reuptake Inhibitors	C0360105	INTERACTS_WITH	["34049262_fullText_3","36868853_fullText_2","36868853_fullText_10"]	SLC6A4 gene	C1420214
Selective Serotonin Reuptake Inhibitors	C0360105	INTERACTS_WITH	["36084758_fullText_1","36084758_fullText_2"]	HTR2C gene	C1415811
Selective Serotonin Reuptake Inhibitors	C0360105	STIMULATES	["35748633_fullText_10"]	HTR2A gene	C1415809
Selective Serotonin Reuptake Inhibitors	C0360105	STIMULATES	["35748633_fullText_10"]	HTR1B gene	C1415804
Selective Serotonin Reuptake Inhibitors	C0360105	STIMULATES	["35748633_fullText_10"]	HTR2C gene	C1415811
Selective Serotonin Reuptake Inhibitors	C0360105	compared_with	["35201310_fullText_6"]	CYP2D6 gene	C1332830
Selective Serotonin Reuptake Inhibitors	C0360105	higher_than	["35201310_fullText_6"]	CYP2D6 gene	C1332830
Selective Serotonin Reuptake Inhibitors	C0360105	INTERACTS_WITH__SPEC__	["36758772_fullText_4"]	SLC6A4 wt Allele	C3814032
Selective Serotonin Reuptake Inhibitors	C0360105	INTERACTS_WITH__SPEC__	["36094099_fullText_9"]	SLC6A4 gene	C1420214
Ceramides	C0007745	COEXISTS_WITH	["15282781_fullText_6"]	PEX2 gene	C1419149
Triglycerides	C0041004	COEXISTS_WITH	["32147747_fullText_126"]	CEL gene	C1413336
Triglycerides	C0041004	COEXISTS_WITH	["2474624_fullText_4"]	PEX7 gene	C1418479
Triglycerides	C0041004	STIMULATES	["20837825_fullText_5"]	HSD11B1 wt Allele	C3715113
Buffers	C0006353	COEXISTS_WITH	["29773809_fullText_116"]	TSPO gene	C1823521
Phosphocreatine	C0031634	compared_with	["3989573_fullText_1"]	OAT gene	C1417917
Serotonin	C0036751	COEXISTS_WITH	["26653793_fullText_1"]	TPH1 gene	C1420870
Serotonin	C0036751	COEXISTS_WITH	["35653343_fullText_5","35653343_fullText_8","35653343_fullText_56"]	NGLY1 gene	C1425023
Serotonin	C0036751	COEXISTS_WITH	["33836218_fullText_8","21040618_fullText_2"]	CFP gene	C1418482
Serotonin	C0036751	COEXISTS_WITH	["34197000_fullText_7"]	GRIA1 gene	C1415287
Serotonin	C0036751	COEXISTS_WITH	["37775532_fullText_7","26653793_fullText_7"]	Wild Type	C1883559
Serotonin	C0036751	COEXISTS_WITH	["37584820_fullText_3"]	P4HB gene	C1418224
Serotonin	C0036751	COEXISTS_WITH	["34240839_fullText_4"]	WASF1 gene	C1421479
Serotonin	C0036751	INHIBITS	["35298691_fullText_7"]	AIF1 gene	C1412299
Serotonin	C0036751	STIMULATES	["37584461_fullText_15"]	GYPE gene	C1415376
varenicline	C1569608	INHIBITS	["35066097_fullText_10"]	BAX gene	C0812198
varenicline	C1569608	STIMULATES__SPEC__	["34923039_fullText_4"]	NLRP1 wt Allele	C3538756
Aminobutyric Acid	C0220780	COEXISTS_WITH	["29061647_fullText_6"]	ALDH7A1 gene	C1412691
Blockade	C3540676	COEXISTS_WITH	["34473369_fullText_7"]	CLOCK gene	C1413503
Blockade	C3540676	COEXISTS_WITH	["35870087_fullText_3"]	CHPT1 wt Allele	C3539603
Blockade	C3540676	COEXISTS_WITH	["34473369_fullText_7"]	ARNTL gene	C1412544
Blockade	C3540676	INHIBITS	["35746869_fullText_2"]	LMOD1 gene	C1416886
Blockade	C3540676	INHIBITS	["35746869_fullText_2"]	DIO2 gene	C1414052
Blockade	C3540676	STIMULATES	["37365544_fullText_7"]	CLOCK gene	C1413503
Blockade	C3540676	STIMULATES	["33800024_fullText_5"]	CNR2 gene	C1413555
Chloroquine	C0008269	STIMULATES	["31754023_fullText_3"]	MBNL1 gene	C1417055
Endocannabinoids	C1172779	STIMULATES	["35361667_fullText_2","37739804_fullText_5"]	CNR1 gene	C1413554
Endocannabinoids	C1172779	compared_with	["35011295_fullText_1"]	CBR1 gene	C1413154
Endocannabinoids	C1172779	higher_than	["35011295_fullText_1"]	CBR1 gene	C1413154
Endocannabinoids	C1172779	STIMULATES__SPEC__	["28448548_fullText_9"]	FAAH gene	C1414512
anandamide	C0211726	INHIBITS	["34615374_fullText_7","36542836_fullText_2"]	FAAH gene	C1414512
Glycine	C0017890	PART_OF	["25135935_fullText_134","35603178_fullText_65"]	TSPO gene	C1823521
Glycine	C0017890	COEXISTS_WITH	["26824521_fullText_147"]	TSPO gene	C1823521
Glycine	C0017890	COEXISTS_WITH	["24299452_fullText_85"]	TXN2 gene	C1456398
Glycine	C0017890	COEXISTS_WITH	["33833507_fullText_7"]	KIDINS220 gene	C2681631
Glycine	C0017890	COEXISTS_WITH	["10746561_fullText_7"]	Homologous Gene	C1334043
Glycine	C0017890	INHIBITS	["11024031_fullText_4"]	Wild Type	C1883559
Glycine	C0017890	compared_with	["33865004_fullText_4"]	LAMA1 gene	C1416775
Acetylcholine	C0001041	PART_OF	["36345723_fullText_4"]	Enzyme Gene	C1333402
Acetylcholine	C0001041	STIMULATES	["35030226_fullText_5"]	LPAR3 wt Allele	C3812695
Acetylcholine	C0001041	STIMULATES	["37648452_fullText_2"]	IMPACT gene	C1825598
Atypical antipsychotic	C1276996	INHIBITS	["34348620_fullText_1"]	TRIM32 gene	C1424232
aripiprazole	C0299792	STIMULATES	["33830427_fullText_7"]	SRI gene	C1420401
Pharmacologic Substance	C1254351	STIMULATES	["18804034_fullText_5"]	TGM2 gene	C1420714
