Gene	Gene_id	RELATION	PROVENANCE	Phenotype	Phenotype_id
IFNG gene	C1334085	ASSOCIATED_WITH		Nausea	C0027497
POMC gene	C1337111	ASSOCIATED_WITH		Nausea	C0027497
OPRM1 gene	C1417965	ASSOCIATED_WITH		Nausea	C0027497
ATXN3 gene	C1538301	AFFECTS	["20414586_fullText_12"]	Depressive Symptoms	C0086132
FASN gene	C1367441	ASSOCIATED_WITH		Depressive Symptoms	C0086132
ABCC9 gene	C1412083	ASSOCIATED_WITH		Depressive Symptoms	C0086132
DAO gene	C1413903	ASSOCIATED_WITH		Depressive Symptoms	C0086132
CYP19A1 gene	C1366496	ASSOCIATED_WITH		Depressive Symptoms	C0086132
CYP1A1 gene	C0919425	ASSOCIATED_WITH		Depressive Symptoms	C0086132
SLC5A7 gene	C1422359	ASSOCIATED_WITH		Depressive Symptoms	C0086132
IFNAR1 gene	C1334081	ASSOCIATED_WITH		Depressive Symptoms	C0086132
SULT1A1 gene	C1420514	ASSOCIATED_WITH		Depressive Symptoms	C0086132
CYP1B1 gene	C1413859	ASSOCIATED_WITH		Depressive Symptoms	C0086132
FMR1 gene	C1414649	ASSOCIATED_WITH		Depressive Symptoms	C0086132
TGFB1 gene	C1366557	ASSOCIATED_WITH		Depressive Symptoms	C0086132
SERPINE1 gene	C1418252	ASSOCIATED_WITH		Depressive Symptoms	C0086132
ACE gene	C1413931	ASSOCIATED_WITH		Depressive Symptoms	C0086132
RAB3D gene	C1419208	ASSOCIATED_WITH	["34623076_fullText_1"]	Depressive Symptoms	C0086132
IMPACT gene	C1825598	ASSOCIATED_WITH	["35849771_fullText_2","31992347_abstract_2","31992347_abstract_3"]	Depressive Symptoms	C0086132
SAR1A gene	C1419815	ASSOCIATED_WITH	["26644294_fullText_2"]	Depressive Symptoms	C0086132
CPSF4 gene	C1413687	AUGMENTS	["10435210_fullText_10"]	Educational Status	C0013658
MBNL3 gene	C1427004	DISRUPTS	["27484195_fullText_18"]	Consequent	C3845876
SIRT1 gene	C1423062	DISRUPTS	["27165717_fullText_76"]	Consequent	C3845876
PROS1 wt Allele	C3813209	AFFECTS	["37626429_fullText_2"]	Perceived quality of life	C0518214
LY6E gene	C1334353	AFFECTS	["31575582_fullText_75"]	Perceived quality of life	C0518214
IMPACT gene	C1825598	AFFECTS	["36309700_fullText_4","35164706_fullText_5","35164706_fullText_7","29110168_fullText_8"]	Perceived quality of life	C0518214
C6orf15 gene	C1422277	AFFECTS	["36535286_fullText_1"]	Perceived quality of life	C0518214
PCDH19 gene	C1422530	ASSOCIATED_WITH		Sleep disturbances	C0037317
PER2 gene	C1418465	ASSOCIATED_WITH		Sleep disturbances	C0037317
IMPACT gene	C1825598	ASSOCIATED_WITH	["20482818_fullText_66"]	Sleep disturbances	C0037317
NDUFS4 gene	C1417647	CAUSES	["37770252_fullText_82"]	Body Weight decreased	C0043096
CNR2 gene	C1413555	AFFECTS	["34625464_fullText_8"]	Body Weight decreased	C0043096
LRP2 wt Allele	C3811119	AFFECTS	["36801348_fullText_7","36801348_fullText_8"]	Gait	C0016928
SLC14A2 gene	C1420099	DISRUPTS	["12150945_fullText_3"]	Neuronal Differentiation	C1518294
GBA gene	C1414998	ASSOCIATED_WITH		Resting Tremor	C0234379
DMPK gene	C1414085	CAUSES	["12115974_fullText_4"]	Excitability	C0235169
SCN5A gene	C1419864	AFFECTS	["27063795_fullText_8"]	Excitability	C0235169
DMPK gene	C1414085	AFFECTS	["12454205_fullText_1"]	Excitability	C0235169
WASF1 gene	C1421479	AFFECTS	["2100052_fullText_1"]	Excitability	C0235169
MIR218-2 gene	C1537855	AFFECTS	["37816598_fullText_5"]	Excitability	C0235169
TAC1 wt Allele	C1705924	AFFECTS	["34148230_fullText_5"]	Excitability	C0235169
CTSL1 wt Allele	C1707163	ASSOCIATED_WITH	["28542314_fullText_4"]	Excitability	C0235169
CLOCK gene	C1413503	ASSOCIATED_WITH	["34333153_fullText_4"]	Excitability	C0235169
KCNC3 gene	C1416558	AUGMENTS	["32789747_fullText_6"]	Excitability	C0235169
KCNA6 gene	C1416549	AUGMENTS	["32789747_fullText_6"]	Excitability	C0235169
MALAT1 gene	C1537647	DISRUPTS	["36613961_fullText_5"]	Excitability	C0235169
SAR1A gene	C1419815	DISRUPTS	["33535082_fullText_4"]	Excitability	C0235169
SRI gene	C1420401	DISRUPTS	["36399187_fullText_3"]	90%	C3842582
INS gene	C1337112	ASSOCIATED_WITH		Tachycardia	C0039231
KNG1 gene	C1537501	ASSOCIATED_WITH		Tachycardia	C0039231
GNAS gene	C1366550	ASSOCIATED_WITH		Tachycardia	C0039231
HTR4 gene	C1415813	ASSOCIATED_WITH		Tachycardia	C0039231
GNRH1 gene	C1415169	ASSOCIATED_WITH		Tachycardia	C0039231
RYR2 gene	C1419779	ASSOCIATED_WITH		Tachycardia	C0039231
DRD2 gene	C1333253	ASSOCIATED_WITH		Tachycardia	C0039231
BCHE gene	C1412756	ASSOCIATED_WITH		Tachycardia	C0039231
Retinoic Acid Response Element	C1514917	AFFECTS	["34751953_fullText_7"]	Household composition	C0595998
LY86 gene	C1424584	AFFECTS	["21752270_fullText_1","21752270_fullText_15","21752270_fullText_43","21752270_fullText_240"]	Household composition	C0595998
IMPACT gene	C1825598	AFFECTS	["28484315_fullText_17"]	Household composition	C0595998
COMP gene	C1456376	CAUSES	["21029365_fullText_5"]	Multiple birth (finding)	C2015861
STX5 gene	C1823143	CAUSES	["32629928_fullText_208"]	Severe disorder	C1836348
MGME1 gene	C1424082	CAUSES	["36056365_fullText_85"]	Severe disorder	C1836348
SLC25A1 gene	C1420150	CAUSES	["32660532_fullText_1"]	Severe disorder	C1836348
PHEX gene	C1418526	CAUSES	["21031596_fullText_1","19877282_fullText_2"]	Severe disorder	C1836348
MJD gene	C1417173	CAUSES	["29427109_fullText_1"]	Severe disorder	C1836348
PMP22 gene	C1418677	CAUSES	["9021013_fullText_5"]	Severe disorder	C1836348
DHDDS gene	C1427027	AFFECTS	["27343064_fullText_193"]	Severe disorder	C1836348
PTGER1 gene	C1419061	CAUSES	["35908896_fullText_5"]	Not significant	C1273937
PMM2 gene	C1418674	AFFECTS	["38430517_fullText_5"]	Neurologic Manifestations	C0027854
ALDH5A1 gene	C1412339	ASSOCIATED_WITH		Neurologic Manifestations	C0027854
ABCB1 gene	C0376622	AFFECTS	["36071112_fullText_2"]	Engaged to be married	C0425152
