"source","source_type","target","target_type"
"CHEMBL45816","drug","ENSG00000100346","gene"
"CHEMBL45816","drug","ENSG00000006283","gene"
"CHEMBL45816","drug","ENSG00000196557","gene"
"CHEMBL960","drug","ENSG00000102967","gene"
"CHEMBL1200951","drug","ENSG00000149295","gene"
"CHEMBL1201064","drug","ENSG00000113580","gene"
"CHEMBL1201863","drug","ENSG00000105675","gene"
"CHEMBL1289494","drug","ENSG00000102755","gene"
"CHEMBL1289494","drug","ENSG00000128052","gene"
"CHEMBL1289494","drug","ENSG00000037280","gene"
"CHEMBL1477","drug","ENSG00000113161","gene"
"CHEMBL1743041","drug","ENSG00000183813","gene"
"CHEMBL178","drug","ENSG00000131747","gene"
"CHEMBL250270","drug","ENSG00000151067","gene"
"CHEMBL250270","drug","ENSG00000157388","gene"
"CHEMBL250270","drug","ENSG00000102001","gene"
"CHEMBL250270","drug","ENSG00000081248","gene"
"CHEMBL3188267","drug","ENSG00000105976","gene"
"CHEMBL360328","drug","ENSG00000147246","gene"
"CHEMBL37744","drug","ENSG00000135914","gene"
"CHEMBL37744","drug","ENSG00000158748","gene"
"CHEMBL37744","drug","ENSG00000186090","gene"
"CHEMBL37744","drug","ENSG00000166736","gene"
"CHEMBL37744","drug","ENSG00000178084","gene"
"CHEMBL37744","drug","ENSG00000102468","gene"
"CHEMBL37744","drug","ENSG00000147246","gene"
"CHEMBL37744","drug","ENSG00000168830","gene"
"CHEMBL37744","drug","ENSG00000179097","gene"
"CHEMBL37744","drug","ENSG00000148680","gene"
"CHEMBL37744","drug","ENSG00000178394","gene"
"CHEMBL37744","drug","ENSG00000135312","gene"
"CHEMBL37744","drug","ENSG00000186038","gene"
"CHEMBL37744","drug","ENSG00000164270","gene"
"CHEMBL37744","drug","ENSG00000157219","gene"
"CHEMBL37744","drug","ENSG00000179546","gene"
"CHEMBL37744","drug","ENSG00000149305","gene"
"CHEMBL3889654","drug","ENSG00000140538","gene"
"CHEMBL3889654","drug","ENSG00000148053","gene"
"CHEMBL3889654","drug","ENSG00000198400","gene"
"CHEMBL4559134","drug","ENSG00000170759","gene"
"CHEMBL4559134","drug","ENSG00000165731","gene"
"CHEMBL4559134","drug","ENSG00000108091","gene"
"CHEMBL622","drug","ENSG00000073756","gene"
"CHEMBL643","drug","ENSG00000196639","gene"
"CHEMBL679","drug","ENSG00000120907","gene"
"CHEMBL679","drug","ENSG00000170214","gene"
"CHEMBL679","drug","ENSG00000184160","gene"
"CHEMBL679","drug","ENSG00000171873","gene"
"CHEMBL679","drug","ENSG00000150594","gene"
"CHEMBL679","drug","ENSG00000274286","gene"
"CHEMBL679","drug","ENSG00000188778","gene"
"CHEMBL679","drug","ENSG00000043591","gene"
"CHEMBL679","drug","ENSG00000169252","gene"
"CHEMBL75880","drug","ENSG00000157184","gene"
"CHEMBL75880","drug","ENSG00000205560","gene"
"CHEMBL75880","drug","ENSG00000198793","gene"
"CHEMBL1200374","drug","ENSG00000137869","gene"
"CHEMBL1577","drug","ENSG00000070915","gene"
"CHEMBL2107067","drug","ENSG00000169083","gene"
"CHEMBL472","drug","ENSG00000006071","gene"
"CHEMBL472","drug","ENSG00000187486","gene"
"CHEMBL498","drug","ENSG00000006071","gene"
"CHEMBL498","drug","ENSG00000187486","gene"
"CHEMBL539697","drug","ENSG00000180210","gene"
"CHEMBL93","drug","ENSG00000012779","gene"
"CHEMBL1201336","drug","ENSG00000168356","gene"
"CHEMBL1201336","drug","ENSG00000144285","gene"
"CHEMBL1201336","drug","ENSG00000183873","gene"
"CHEMBL1201336","drug","ENSG00000196876","gene"
"CHEMBL1201336","drug","ENSG00000185313","gene"
"CHEMBL1201336","drug","ENSG00000136531","gene"
"CHEMBL1201336","drug","ENSG00000153253","gene"
"CHEMBL1201336","drug","ENSG00000007314","gene"
"CHEMBL1201336","drug","ENSG00000136546","gene"
"CHEMBL1201336","drug","ENSG00000169432","gene"
"CHEMBL1201583","drug","ENSG00000112715","gene"
"CHEMBL1411979","drug","ENSG00000196639","gene"
"CHEMBL1428","drug","ENSG00000151067","gene"
"CHEMBL1428","drug","ENSG00000157388","gene"
"CHEMBL1428","drug","ENSG00000102001","gene"
"CHEMBL1428","drug","ENSG00000151623","gene"
"CHEMBL1428","drug","ENSG00000081248","gene"
"CHEMBL1535","drug","ENSG00000239732","gene"
"CHEMBL1535","drug","ENSG00000196664","gene"
"CHEMBL169901","drug","ENSG00000103546","gene"
"CHEMBL1742982","drug","ENSG00000112715","gene"
"CHEMBL1742982","drug","ENSG00000119630","gene"
"CHEMBL2105720","drug","ENSG00000197891","gene"
"CHEMBL2110725","drug","ENSG00000101162","gene"
"CHEMBL2110725","drug","ENSG00000261456","gene"
"CHEMBL2110725","drug","ENSG00000152086","gene"
"CHEMBL2110725","drug","ENSG00000198033","gene"
"CHEMBL2110725","drug","ENSG00000104833","gene"
"CHEMBL2110725","drug","ENSG00000137267","gene"
"CHEMBL2110725","drug","ENSG00000167553","gene"
"CHEMBL2110725","drug","ENSG00000188229","gene"
"CHEMBL2110725","drug","ENSG00000196230","gene"
"CHEMBL2110725","drug","ENSG00000127824","gene"
"CHEMBL2110725","drug","ENSG00000137285","gene"
"CHEMBL2110725","drug","ENSG00000167552","gene"
"CHEMBL2110725","drug","ENSG00000258947","gene"
"CHEMBL2110725","drug","ENSG00000176014","gene"
"CHEMBL2110725","drug","ENSG00000123416","gene"
"CHEMBL2362016","drug","ENSG00000198431","gene"
"CHEMBL301265","drug","ENSG00000151577","gene"
"CHEMBL301265","drug","ENSG00000149295","gene"
"CHEMBL301265","drug","ENSG00000069696","gene"
"CHEMBL594","drug","ENSG00000196639","gene"
"CHEMBL599","drug","ENSG00000073756","gene"
"CHEMBL6622","drug","ENSG00000123201","gene"
"CHEMBL6622","drug","ENSG00000061918","gene"
"CHEMBL836","drug","ENSG00000120907","gene"
"CHEMBL836","drug","ENSG00000170214","gene"
"CHEMBL836","drug","ENSG00000171873","gene"
"CHEMBL965","drug","ENSG00000133019","gene"
"CHEMBL1173655","drug","ENSG00000146648","gene"
"CHEMBL1173655","drug","ENSG00000141736","gene"
"CHEMBL1173655","drug","ENSG00000178568","gene"
"CHEMBL1201293","drug","ENSG00000022355","gene"
"CHEMBL1201293","drug","ENSG00000273079","gene"
"CHEMBL1201293","drug","ENSG00000113327","gene"
"CHEMBL1201293","drug","ENSG00000145864","gene"
"CHEMBL1201293","drug","ENSG00000166206","gene"
"CHEMBL1201293","drug","ENSG00000198785","gene"
"CHEMBL1201293","drug","ENSG00000268089","gene"
"CHEMBL1201293","drug","ENSG00000011677","gene"
"CHEMBL1201293","drug","ENSG00000176884","gene"
"CHEMBL1201293","drug","ENSG00000145863","gene"
"CHEMBL1201293","drug","ENSG00000183454","gene"
"CHEMBL1201293","drug","ENSG00000105464","gene"
"CHEMBL1201293","drug","ENSG00000187730","gene"
"CHEMBL1201293","drug","ENSG00000116032","gene"
"CHEMBL1201293","drug","ENSG00000163288","gene"
"CHEMBL1201293","drug","ENSG00000186297","gene"
"CHEMBL1201293","drug","ENSG00000102287","gene"
